index,game,category,question,answer,amount,media,dj
23,8046,LATE NIGHT TALKING,"On this Jimmy Kimmel bit, Allison Janney read, ""Allison Janney looks like a substitute teacher everyone hates""","""Celebrities Read Mean Tweets""",800,,False
24,8046,LATE NIGHT TALKING,"In the '90s Conan O'Brien first peered into the future in a bit called ""In the Year"" this... which was still recurring in 2003",2000,1000,,False
25,8046,HAIRY STYLES,"The center part was big in this decade, when the photo here was taken",the '90s,200,https://www.j-archive.com/media/2023-06-08_J_06.jpg,False
26,8046,HAIRY STYLES,"Big in the '60s, a Beatle haircut is also called by this rhyming name",a mop top,400,,False
27,8046,HAIRY STYLES,"In the 1940s, women wore victory these, a synonym for curls, but also a popular airplane maneuver",rolls,600,https://www.j-archive.com/media/2023-06-08_J_13.jpg,False
28,8046,HAIRY STYLES,This short style named for its origin among rowers was popular with '50s guys,a crew cut,800,,False
29,8046,HAIRY STYLES,"Popular in the 1900s & 1910s, a bun on top of a pompadour was known as cottage this, after bread that looked similar",loaf,1000,https://www.j-archive.com/media/2023-06-08_J_29.jpg,False
30,8046,"YES, YOU CANAL",Hydraulic lifts on the Canal du Centre are tourist attractions in this country's Walloon region,Belgium,400,,True
31,8046,"YES, YOU CANAL","It's a tight squeeze getting by in this country's Corinth Canal, but seems like fun",Greece,800,https://www.j-archive.com/media/2023-06-08_DJ_27.jpg,True
32,8046,"YES, YOU CANAL","In 1913 the L.A. Times noted an event celebrated at this site would  ""be known as the 'wedding of the oceans""'",the Panama Canal,1200,,True
33,8046,"YES, YOU CANAL",The Moscow Canal links Russia's capital to this big river,the Volga,1600,,True
34,8046,"YES, YOU CANAL","Welland Canal, which connects Lake Erie to Lake Ontario, is a major part of this 2,300-mile-long navigation route",the St. Lawrence Seaway,2000,,True
35,8046,LITERATURE,"The medieval Muslim text ""Alive, the Son of Awake"", about a man on a deserted island, is a likely inspiration for this 1719 work",Robinson Crusoe,400,,True
36,8046,LITERATURE,"This writer known for robotic laws (which might come in handy soon) wrote his ""Lucky Starr"" series as Paul French",Asimov,800,,True
37,8046,LITERATURE,"In the 1920s ""Along the Road"" was a travel book by this writer; he'd write about a different kind of trip in ""The Doors of Perception""",Huxley,1200,,True
38,8046,LITERATURE,"Chapters in this debut novel by Zadie Smith include ""Two Families"", ""Molars"" & ""Of Mice & Memory""",White Teeth,1600,,True
39,8046,LITERATURE,"""The Overstory"" by this author is partially set during the Pacific Northwest timber wars",Richard Powers,2000,,True
40,8046,"A ""MID"" CATEGORY",It describes air heavy with water vapor,humid,400,,True
41,8046,"A ""MID"" CATEGORY","This word means just a speck, a little bit, un poquito",a smidgen,800,,True
42,8046,"A ""MID"" CATEGORY","Pitcher Randy Johnson once said this act of giving a batter pause ""is not in hitting a guy. It's the fear of it""",intimidation,1200,,True
43,8046,"A ""MID"" CATEGORY","Karl Marx wrote, ""Force is the"" this ""of every old society pregnant with a new one""",midwife,1600,,True
44,8046,"A ""MID"" CATEGORY","This plural-sounding word for the area seen here is an adverb, as in “There was fierce fighting”",amidships,2000,https://www.j-archive.com/media/2023-06-08_DJ_25.jpg,True
45,8046,ROMANCING THE STONES,This ruler gave his second wife Marie-Louise a necklace with 234 diamonds after the birth of their son in 1811,Napoleon,400,,True
46,8046,ROMANCING THE STONES,"On the set of ""High Society"", this actress wore her actual engagement ring from Prince Rainier",Grace Kelly,800,,True
47,8046,ROMANCING THE STONES,Suitors of this queen of Ithaca brought her a necklace & a golden chain with amber beads,Penelope,1200,,True
48,8046,ROMANCING THE STONES,"Sapphires like the one in Princess Diana's engagement ring bear this former name for Sri Lanka, where they were found",Ceylon,1600,,True
49,8046,ROMANCING THE STONES,"Mary of Burgundy got a diamond ring with the letter ""M"" on it from this future emperor; it was the first initial for both",Maximilian,2000,,True
50,8046,IMPOSTORS,"Dressed as a line judge, Barry Bremen snuck onto the field at this sporting event in Jan. 1981; his 1982 effort as a chicken failed",the Super Bowl,400,,True
51,8046,IMPOSTORS,Around 1902 Cassie Chadwick swindled banks & investors who believed she was the daughter of this steel tycoon,Andrew Carnegie,800,,True
52,8046,IMPOSTORS,"In this memoir Frank W. Abagnale poses as a pilot & muses, ""Books are judged by their covers... &... I was an immediate best seller""",Catch Me If You Can,1200,,True
53,8046,IMPOSTORS,"After the French Revolution, people all around the world claimed to be the ""Lost"" this, the son of Marie-Antoinette",the (Lost) Dauphin,1600,,True
54,8046,IMPOSTORS,"Though insisting it was part of Japan, George Psalmanazar made 18th c. London believe he was from Taiwan, then called this",Formosa,2000,,True
55,8046,BIG & LIL POP CULTURE,Ryan Gosling & Christian Bale see bad times ahead in this 2015 movie about mortgage banking & more,The Big Short,400,,True
56,8046,BIG & LIL POP CULTURE,"Seen here, Lil Rel Howery eased the tension a bit as Daniel Kaluuya's wisecracking bud in this 2017 horror film",Get Out,800,https://www.j-archive.com/media/2023-06-08_DJ_06.jpg,True
57,8046,BIG & LIL POP CULTURE,"On ""Parks & Rec"" this 4-legged phenom was Pawnee's biggest star; Andy sang ""5,000 Candles In The Wind"" at his memorial",Li'l Sebastian,1200,,True
58,8046,BIG & LIL POP CULTURE,"Before ""Everything Everywhere All at Once"", Daniel Kwan & Daniel Scheinert directed ""Turn Down for What"" by DJ Snake & this rapper",Lil Jon,1600,https://www.j-archive.com/media/2023-06-08_DJ_08.jpg,True
59,8046,BIG & LIL POP CULTURE,Al Capp created this comic strip set in good ol' Dogpatch,Li'l Abner,2000,,True
60,8047,ANNUAL EVENTS,The Florida Folk Festival is held at the Stephen Foster State Folk Culture Center way down upon this river,the Suwanee,200,,False
61,8047,ANNUAL EVENTS,"Oologah & Claremore, Ok. honor this humorist's birth with a Pony Express ride on November 4",Will Rogers,400,,False
62,8047,ANNUAL EVENTS,A month-long May celebration of this sporting event includes a Mechanics Recognition Party,the Indianapolis 500,600,,False
63,8047,ANNUAL EVENTS,"On this holiday in 1929, Al Capone's gang killed several members of Bugs Moran's gang",Valentine's Day,800,,False
64,8047,ANNUAL EVENTS,"This state has winter festivals in several communities, including Hanover & Franconia",New Hampshire,1000,,False
65,8047,JULY,This ancient Roman for whom the month is named was born in July,Julius Caesar,200,,False
66,8047,JULY,"Honoring those killed in 1830's July Revolution, the Column of July stands on the site of this French prison",the Bastille,400,,False
67,8047,JULY,"This flower, a symbol of July, belongs to the family Nymphaeaceae & was often painted by Monet",the water lily,600,,False
68,8047,JULY,"It wasn't ""small potatoes"" when this became our 43rd state July 3, 1890",Idaho,800,,False
69,8047,JULY,"Richard Nixon made ""the most historic telephone call ever made"" to this place July 20, 1969",the moon,1000,,False
70,8047,4th,"1983's ""Billie Jean"" was his 4th solo No. 1 hit",Michael Jackson,200,,False
71,8047,4th,"When it held its 1904 exhibition, this Missouri city was the USA's 4th largest",St. Louis,400,,False
72,8047,4th,"No joke, it's the 4th-largest bone in the skeleton of an average adult male",the humerus,600,,False
73,8047,4th,"In 1992 Andre Marrou came in 4th in this election with 291,612 votes",the election for the presidency of the United States,800,,False
74,8047,4th,"In terms of area, it's the 4th largest of the 5 Great Lakes",Lake Erie,1000,,False
75,8047,"""HOT""",Malcolm Forbes was the 1st person to fly the U.S. coast-to-coast in one of these,a hot air balloon,200,,False
76,8047,"""HOT""","It was Major Houlihan's nickname on ""M*A*S*H""",Hot Lips,400,,False
77,8047,"""HOT""","A nursery rhyme says, ""If you have no daughters, give them to your sons""",hot cross buns,600,,False
78,8047,"""HOT""",It's Richard Preston's nonfiction bestseller about an outbreak of a deadly African virus,The Hot Zone,800,,False
79,8047,"""HOT""",The Rough Riders adopted this musical standard as their anthem,"""A Hot Time In The Old Town""",1000,,False
80,8047,DOGS,"The coat of this retriever may be yellow, chocolate or solid black",a Labrador Retriever,200,,False
81,8047,DOGS,It's believed the shih tzu originated in this region of China where the Lhasa apso was produced,Tibet,400,,False
82,8047,DOGS,This breed of hound has been described as having the head of a bloodhound & the body of a fat dachshund,a basset hound,600,,False
83,8047,DOGS,The Dandie Dinmont breed of this dog owes its name to Sir Walter Scott,a terrier,800,,False
84,8047,DOGS,"Sometimes called ""the poor man's race horse"", it resembles a greyhound in miniature",a whippet,1000,,False
85,8047,BEANS,"A popular holiday dish is made with these ""colorful"" beans, cream of mushroom soup & fried onions",green beans,200,,False
86,8047,BEANS,Cannellini is a white variety of this large red bean,a kidney bean,400,,False
87,8047,BEANS,"In the classic Cuban dish Moros y Cristianos, these are served with white rice",black beans,600,,False
88,8047,BEANS,"Also called broad beans, we hear they go well with a nice Chianti",fava beans,800,,False
89,8047,BEANS,They're the beans most commonly used to produce bean sprouts for salads & stir-fry,mung beans,1000,,False
90,8047,HISTORIC LITERATURE,"The Kentucky plantation she visited in 1833 gave her a model for the Shelby home in ""Uncle Tom's Cabin""",Harriet Beecher Stowe,400,,True
91,8047,HISTORIC LITERATURE,"""Das Kapital"" was written in this capital city",London,800,,True
92,8047,HISTORIC LITERATURE,"Machiavelli wrote this book in 1513, but it wasn't published until 1532, 5 years after his death",The Prince,1200,,True
93,8047,HISTORIC LITERATURE,"Language in which Newton wrote his ""Mathematical Principles of Natural Philosophy""",Latin,1600,,True
94,8047,HISTORIC LITERATURE,"This Thoreau work was 1st published in a magazine in 1849 as ""Resistance to Civil Government""",Civil Disobedience,2000,,True
95,8047,WORLD CITIES,About half of Iceland's population lives within the metropolitan area of this city,Reykjavik,400,,True
96,8047,WORLD CITIES,"Oh, this city on India's Hooghly River is the world's largest processor of jute",Calcutta,800,,True
97,8047,WORLD CITIES,"Almost 90% of Brazilian autos are manufactured in this, Brazil's largest city",Sao Paulo,1200,,True
98,8047,WORLD CITIES,In 1821 this Sudanese capital was founded by Egypt's Muhammad Ali,Khartoum,1600,,True
99,8047,WORLD CITIES,In the 1960s this city was built to replace Karachi as the capital of Pakistan,Islamabad,2000,,True
100,8047,THE BIBLE,"This son of Adam & Eve ""said unto the Lord, my punishment is greater than I can bear""",Cain,400,,True
101,8047,THE BIBLE,"At this ""sea"" Jesus told Simon Peter that he would be a fisher of men",the Sea of Galilee,800,,True
102,8047,THE BIBLE,His thigh went out of joint as he wrestled with an angel,Jacob,1200,,True
103,8047,THE BIBLE,"The Lord told this minor prophet, ""Arise, go to Nineveh, that great city, and cry against it""",Jonah,1600,,True
104,8047,THE BIBLE,"Jesus healed a man near this pool in Jerusalem by saying, ""Rise, take up thy bed, and walk""",Pool of Bethesda,2000,,True
105,8047,PAINTING & SCULPTURE,"It's the dominant color in Picasso's melancholy 1903 painting ""The Tragedy""",blue,400,,True
106,8047,PAINTING & SCULPTURE,"Jules Bastien-Lepage painted this French peasant girl ""listening to the voices""",Joan of Arc,800,,True
107,8047,PAINTING & SCULPTURE,One of Augustus Saint-Gaudens' most famous works is a heroic bronze statue of this Civil War admiral,Farragut,1200,,True
108,8047,PAINTING & SCULPTURE,"""Discobolus"", a statue of an athlete by the ancient Greek sculptor Myron, is also known by this name",The Discus Thrower,1600,,True
109,8047,PAINTING & SCULPTURE,This Frenchman who sculpted George Washington began sculpting at age 9,Houdon,2000,,True
110,8047,THE SUPREME COURT,"As an Illinois lawyer, David Davis became a friend of this man who appointed him to the court in 1862",Abraham Lincoln,400,,True
111,8047,THE SUPREME COURT,"This Chief Justice, once president, promoted the idea of a separate court building",Taft,1600,,True
112,8047,THE SUPREME COURT,"Oliver Wendell Holmes, Jr. served 20 years on this state's Supreme Court, 1882-1902",Massachusetts,2000,,True
113,8047,FILM BIOGRAPHIES,"""The Pride of St. Louis"" is the story of Dizzy Dean; ""The Spirit of St. Louis"" is about this man",Lindbergh,400,,True
114,8047,FILM BIOGRAPHIES,"The 1993 film ""Dragon"" recounts the brief & tragic life of this martial artist",Bruce Lee,800,,True
115,8047,FILM BIOGRAPHIES,"In the movie ""Blaze"", he portrayed Louisiana governor Earl Long",Paul Newman,1200,,True
116,8047,FILM BIOGRAPHIES,This 1950s director of some of the worst films ever was the subject of a 1994 film,Ed Wood,1600,,True
117,8047,FILM BIOGRAPHIES,"The 1983 film ""Cross Creek"" tells of this author who left the city behind for the Florida backwoods",(Marjorie Kinnan) Rawlings,2000,,True
118,8048,WOMEN IN POLITICS,Mayor who always leaves her heart in San Francisco,Dianne Feinstein,200,,False
119,8048,WOMEN IN POLITICS,Only five women have been elected for full terms to this Congressional body,the Senate,400,,False
120,8048,WOMEN IN POLITICS,"In '58, Sweden's Agda Rossel was first woman to head a delegation to this",the United Nations,600,,False
121,8048,WOMEN IN POLITICS,"Until 1971, women couldn't vote in this neutral nation",Switzerland,800,,False
122,8048,WOMEN IN POLITICS,Recent president who appointed more women to his cabinet than any other,Jimmy Carter,1000,,False
123,8048,THE OSCARS,"Mary Poppins' ""Chimney Sweep"" song that won in '64","""Chim Chim Cher-ee""",200,,False
124,8048,THE OSCARS,"Won her first acting Oscar for ""Butterfield 8""",Elizabeth Taylor,400,,False
125,8048,THE OSCARS,"Edgar Bergen's special '37 Oscar, appropriately, was made of this material",wood,600,,False
126,8048,THE OSCARS,Unflappable actor on stage when '74 awards were streaked,David Niven,800,,False
127,8048,THE OSCARS,Only X-rated film to win a Best Picture Oscar,Midnight Cowboy,1000,,False
128,8048,IRELAND,Ireland's green gem of a nickname,the Emerald Isle,200,,False
129,8048,IRELAND,The gift of gab can be had by kissing this,the Blarney Stone,400,,False
130,8048,IRELAND,Style of poetry named for Irish city and popularized by Edward Lear,a limerick,600,,False
131,8048,IRELAND,"Song also known as ""Londonderry Air""","""O Danny Boy""",800,,False
132,8048,IRELAND,"What ""Erin go bragh"" means",Ireland Forever (Long Live Ireland accepted),1000,,False
133,8048,FOOTBALL,Chicago's NFL team,the Bears,200,,False
134,8048,FOOTBALL,Nickname for field from early rules requiring waffle-like markings,the gridiron,400,,False
135,8048,FOOTBALL,Special helmets were made to fit the large head of this Buffalo halfback star,O.J. Simpson,600,,False
136,8048,FOOTBALL,What PAT stands for,point after touchdown,800,,False
137,8048,FOOTBALL,Position the Gipper played,a halfback,1000,,False
138,8048,NAME YOUR POISON,"In the Cary Grant classic, it goes with old lace",arsenic,200,,False
139,8048,NAME YOUR POISON,The skeletal symbol for poison & pirates,the skull & crossbones,400,,False
140,8048,NAME YOUR POISON,"Standard warning about it is ""leaves of three, let it be""",poison ivy,600,,False
141,8048,NAME YOUR POISON,Malicious mail,a poison pen letter,800,,False
142,8048,NAME YOUR POISON,Cleopatra's venomous nemesis,an asp,1000,,False
143,8048,TRIVIA,"Its symbol is still Nipper, listening to his master's voice",RCA,200,,False
144,8048,TRIVIA,"Substance advertised by the slogan, ""When it rains, it pours""",Morton salt,400,,False
145,8048,TRIVIA,The most commonly used word in written English,the,600,,False
146,8048,TRIVIA,The most commonly used word in spoken English,I,800,,False
147,8048,U.S. CITIES,The home of TV's Ewings,Dallas,400,,True
148,8048,U.S. CITIES,It's at the other end of the Bay Bridge from San Francisco,Oakland,800,,True
149,8048,U.S. CITIES,Iowa city with 3 U's in its name,Dubuque,1200,,True
150,8048,U.S. CITIES,"Not surprisingly, this Connecticut city is at the mouth of the Thames River",New London,1600,,True
151,8048,U.S. CITIES,"Indiana city which means ""high ground"" in French",Terre Haute,2000,,True
152,8048,RELIGION,Completes Trinity with father & son,the Holy Ghost,400,,True
153,8048,RELIGION,The Jewish Sabbath begins at sunset on this day,Friday,800,,True
154,8048,RELIGION,Casting stones at the Three Pillars of Mina is a rite of the pilgrimage to this city,Mecca,1200,,True
155,8048,RELIGION,He wears the Fisherman's Ring,the Pope,1600,,True
156,8048,RELIGION,Egyptians mourn this sun god's death each night,Ra,2000,,True
157,8048,ENGLISH LITERATURE,Occupation of James Bond,a spy (secret agent),400,,True
158,8048,ENGLISH LITERATURE,"The Romantic period ended in 1832 with the death of this author of ""Ivanhoe""",Sir Walter Scott,800,,True
159,8048,ENGLISH LITERATURE,"Elizabethan poets used the sonnet, a form from this Mediterranean country",Italy,1200,,True
160,8048,ENGLISH LITERATURE,"Playwright John Osborne's ""hostile glance behind""",Look Back in Anger,1600,,True
161,8048,ENGLISH LITERATURE,"Satire in which Swift attacked the hypocrisy he saw in kings, teachers, & courtiers",Gulliver's Travels,2000,,True
162,8048,THE GARDEN,"Grafted together, they form the potomato",a tomato & potato,400,,True
163,8048,THE GARDEN,"Christian Dior, King's Ransom and American Beauty by another name",a rose,800,,True
164,8048,THE GARDEN,A worldwide group of insects commonly known as plant lice,aphids,1200,,True
165,8048,REPUBLICANS,'70s president once offered contracts by Detroit Lions & the Green Bay Packers,Gerald Ford,400,,True
166,8048,REPUBLICANS,"First elected GOP senator in Tennessee history, now Senate Majority Leader",Howard Baker,800,,True
167,8048,REPUBLICANS,"In 1974, became 2nd vice president to be appointed, not elected",Nelson Rockefeller,1200,,True
168,8048,REPUBLICANS,"Edward Brooke, first Black in the Senate since Reconstruction, represented this state",Massachusetts,1600,,True
169,8048,REPUBLICANS,"In '64, this South Carolina senator switched from Democrat to Republican",Strom Thurmond,2000,,True
170,8048,"""DAY"" TIME","Follows ""Zip-a-dee-doo-dah, zip-a-dee-ay""","""my, oh, my, what a wonderful day""",400,,True
171,8048,"""DAY"" TIME","June 6, 1944",D-Day,800,,True
172,8048,"""DAY"" TIME",MC Jack Bailey turned sobbing women into this,Queen for a Day,1200,,True
173,8048,"""DAY"" TIME",Truffaut's movie about making a movie,Day for Night,1600,,True
174,8048,"""DAY"" TIME",John Reed's story of the Russian Revolution,10 Days that Shook the World,2000,,True
175,8049,THE AMERICAN REVOLUTION,"On Sept. 11, 1777 this French aristocrat was wounded in his first action at the Battle of Brandywine",Lafayette,200,,False
176,8049,THE AMERICAN REVOLUTION,"Commanding the Providence, he raided British fisheries & seized 16 enemy ships",John Paul Jones,400,,False
177,8049,THE AMERICAN REVOLUTION,In December 1778 this future Chief Justice was elected president of the Second Continental Congress,John Jay,600,,False
178,8049,THE AMERICAN REVOLUTION,"On July 9, 1778 delegates from 7 states signed this document",the Articles of Confederation,800,,False
179,8049,THE AMERICAN REVOLUTION,"Fort Moultrie at this South Carolina port fell to the British May 6, 1780",Charleston,1000,,False
180,8049,WOMEN'S FIRSTS,In 1900 Margaret Abbott wasn't teed off when she became the 1st woman to win Olympic gold in this sport,golf,200,,False
181,8049,WOMEN'S FIRSTS,"By dogsled in 1986, Ann Bancroft became the first woman to arrive here with no outside help",the North Pole,400,,False
182,8049,WOMEN'S FIRSTS,"Ann Shaw Carter, the 1st woman rated to pilot this type of craft, is a member of the Whirly Girls",a helicopter,600,,False
183,8049,WOMEN'S FIRSTS,In 1976 this former child star became the 1st woman named Chief of Protocol for a U.S. president,Shirley Temple Black,800,,False
184,8049,WOMEN'S FIRSTS,"This 1st woman to head the Motion Picture Academy won Oscars for ""Dangerous"" & ""Jezebel"" out of 10 nominations",Bette Davis,1000,,False
185,8049,IN THE BOOKSTORE,"From the people who brought us ""DOS for dummies"", Dr. Ruth has written this ""for dummies""",sex,200,,False
186,8049,IN THE BOOKSTORE,"""The Best of"" this CNN host ""Live"" collects his 30 greatest interviews",Larry King,400,,False
187,8049,IN THE BOOKSTORE,"With ""20/20"" hindsight, he covers his career, among other things, in ""Perspectives""",Hugh Downs,600,,False
188,8049,IN THE BOOKSTORE,"His recent autobiography is titled ""Forever Dobie""",Dwayne Hickman,800,,False
189,8049,IN THE BOOKSTORE,"This producer behind ""The Rockford Files"" & ""The A-Team"" has written his first novel, ""The Plan""",Stephen J. Cannell,1000,,False
190,8049,STATE CAPITAL NICKNAMES,"It's ""the city of the saints"" as well as ""the Mormon city""",Salt Lake City,200,,False
191,8049,STATE CAPITAL NICKNAMES,"This Mississippi capital has been called ""the city where the old South and the new South meet""",Jackson,400,,False
192,8049,STATE CAPITAL NICKNAMES,"This Nevada capital is ""the gateway to Lake Tahoe and Yosemite valley""",Carson City,600,,False
193,8049,STATE CAPITAL NICKNAMES,"Some know it as ""the Hub""; Oliver Wendell Holmes called its state house the ""hub of the solar system""",Boston,800,,False
194,8049,STATE CAPITAL NICKNAMES,"It's ""the capital of the First State""",Dover,1000,,False
195,8049,LAW & ORDER,"In 1880 Pat Garrett was elected to this post in Lincoln county, New Mexico",sheriff,200,,False
196,8049,LAW & ORDER,"Like Texas, Arizona formed a group of these lawmen, but it lasted only from 1901 to 1909",the Rangers,400,,False
197,8049,LAW & ORDER,"One of the 1st modern organized police forces was this city's Metropolitan Police, set up in 1829",London,600,,False
198,8049,LAW & ORDER,This plainclothes police squad goes after drug dealers & numbers runners,the vice squad,800,,False
199,8049,LAW & ORDER,"If you cannot afford an attorney, one of these may be appointed to you",a public defender,1000,,False
200,8049,"STARTS & ENDS WITH ""H""","In the King James Bible, it's the present third person singular form of ""have""",hath,200,,False
201,8049,"STARTS & ENDS WITH ""H""",It's one's general physical well-being,health,400,,False
202,8049,"STARTS & ENDS WITH ""H""","Handel's, of ""chorus""",Hallelujah,600,,False
203,8049,"STARTS & ENDS WITH ""H""",From this time on,henceforth,800,,False
204,8049,"STARTS & ENDS WITH ""H""",As a verb it's to assume a bent posture; as a noun it's an intuitive feeling,a hunch,1000,,False
205,8049,VALENTINE'S DAY,"On Valentine's Day 1962, this first lady took viewers on a televised ""Tour of the White House""",Jackie Kennedy,400,,True
206,8049,VALENTINE'S DAY,This German Battleship was launched on Valentine's Day 1939; 2 years later it was sunk,the Bismarck,800,,True
207,8049,VALENTINE'S DAY,"His ""The Importance of Being Earnest"" premiered in London on Valentine's Day 1895",Oscar Wilde,1200,,True
208,8049,VALENTINE'S DAY,"This ""Beaver State"" eagerly entered the union on Valentine's Day 1859",Oregon,1600,,True
209,8049,VALENTINE'S DAY,"While we know he was born on Valentine's Day 1913, his disappearance & death are still a ""riddle""",Jimmy Hoffa,2000,,True
210,8049,LOVE SONGS,"""Endless love"", her 1981 duet with Lionel Richie, was this former Supreme's last hit for Motown",Diana Ross,400,,True
211,8049,LOVE SONGS,"Date until which Johnny Mathis will ""still be loving you""; ""and that's a long, long time""","""The Twelfth Of Never""",800,,True
212,8049,LOVE SONGS,"Singer heard here in a song that was also associated with her father:""L is for the way you look at me""",Natalie Cole,1200,https://www.j-archive.com/media/1996-02-09_DJ_04.mp3,True
213,8049,LOVE SONGS,"This composer's ""Let's Do It (Let's Fall In Love)"" was introduced in the 1928 musical ""Paris""",Cole Porter,1600,,True
214,8049,LOVE SONGS,"The theme from ""Love Story"" is also known by this title, the first 4 words of the song","""Where Do I Begin""",2000,,True
215,8049,ROMANTIC GETAWAYS,Maid of the Mist boats depart from the U.S. & Canadian sides at this site,Niagara Falls,400,,True
216,8049,ROMANTIC GETAWAYS,"It's said that on a clear day, you can see for about 40 miles from this Paris landmark",the Eiffel Tower,800,,True
217,8049,ROMANTIC GETAWAYS,Mayan ruins & clear Caribbean waters help make Cancun this country's most popular tourist destination,Mexico,1200,,True
218,8049,ROMANTIC GETAWAYS,Sunset over Moorea is a great sight to behold from this nearby Polynesian island,Tahiti,1600,,True
219,8049,ROMANTIC GETAWAYS,"Columbus' ""fair weather gulf"", this romantic bay is the home of the Bob Marley Performing Centre",Montego Bay,2000,,True
220,8049,THE HEART,"First performed in the 1960s, it was a rare operation until the introduction of the drug cyclosporine",heart transplant,400,,True
221,8049,THE HEART,"It's measured during your heart's 2 phases, systolic & diastolic",blood pressure,800,,True
222,8049,THE HEART,"In coronary angioplasty, this is used to open clogged arteries",a balloon,1200,,True
223,8049,THE HEART,"Evidence of heart disease is found in this part of the eye, the easiest place to view small blood vessels",the retina,1600,,True
224,8049,THE HEART,"The 4 heart valves are the tricuspid, the aortic, the pulmonic & this one",the bicuspid (mitral),2000,,True
225,8049,FLOWERS,"Now proven almost harmless, this perennial was long thought a major cause of hay fever",goldenrod,400,,True
226,8049,FLOWERS,The nasturtium got its name from its effect on this sensory organ,the nose,800,,True
227,8049,FLOWERS,The sweet William symbolizes gallantry & this sweet flower stands for goodbye,the sweet pea,1200,,True
228,8049,FLOWERS,"Used in floral arrangements, these bright blue flowers sound perfect for single men's coats",bachelor buttons,1600,,True
229,8049,FLOWERS,Term for the fruit of the rose; they're rich in vitamin C,rosehips,2000,,True
230,8049,CANDY,"This cowboy star wishes ""happy trails to you"" with his peanut butter-&-trail mix Happy Trails chocolates",Roy Rogers,400,,True
231,8049,CANDY,It's the insect depicted on Bit-O-Honey wrappers,a honeybee,800,,True
232,8049,CANDY,You'll find Godiva Chocolatier's flagship store on the Grand' Place in this Belgian capital,Brussels,1200,,True
233,8049,CANDY,The name of this candy made from sugar & egg whites is a synonym for godhood,divinity,1600,,True
